angle_x,angle_y,angle_z,brisk.threshold,dataset,err_MTRE,err_bias_x,err_bias_y,err_bias_z,fpfh.searchRadius,harris.searchRadius,harris.threshold,normals.searchRadius,pipelineType,sacia.maxCorrDist,sacia.minSampleDist,sacia.numIterations,sacia.numSamplesPerIter,seedRef,seedRot,seedSource,sift.minContrastSource,sift.minContrastTarget,sift.minScaleSource,sift.minScaleTarget,sift.numOctavesSource,sift.numOctavesTarget,sift.numScalesPerOctaveSource,sift.numScalesPerOctaveTarget,sourceHeight,sourceWidth,visualizer.parameter,x_uncertainty,y_uncertainty
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,7.098494,4.345800,3.284580,0.363959,30.000000,2.000000,0.000000,6.000000,all,1.000000,0.000000,800.000000,5.000000,88.560000,133.136800,88.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,1.057702,0.912904,0.215489,-0.213073,10.800000,2.000000,0.000000,9.000000,all,1.000000,0.000000,800.000000,5.000000,90.560000,136.136800,90.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.846236,-0.301532,0.079783,-0.256121,13.500000,2.000000,0.000000,9.000000,all,1.000000,0.000000,800.000000,5.000000,92.560000,139.136800,92.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,3.026652,-1.700401,-0.299180,-0.031539,18.000000,2.000000,0.000000,9.000000,all,1.000000,0.000000,800.000000,5.000000,94.560000,142.136800,94.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,8.949946,-2.865542,6.683571,0.575173,27.000000,2.000000,0.000000,9.000000,all,1.000000,0.000000,800.000000,5.000000,96.560000,145.136800,96.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,1.954348,1.047925,-1.528973,-0.214022,45.000000,2.000000,0.000000,9.000000,all,1.000000,0.000000,800.000000,5.000000,98.560000,148.136800,98.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,1.989038,1.955624,0.036879,0.160176,1.200000,2.000000,0.000000,1.000000,all,2.000000,0.000000,800.000000,5.000000,100.560000,151.136800,100.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,25.731228,-11.770465,-13.427222,5.012449,1.500000,2.000000,0.000000,1.000000,all,2.000000,0.000000,800.000000,5.000000,102.560000,154.136800,102.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,4.173193,-1.828535,3.636902,-0.050155,2.000000,2.000000,0.000000,1.000000,all,2.000000,0.000000,800.000000,5.000000,104.560000,157.136800,104.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.151434,-0.106530,-0.001553,0.077782,3.000000,2.000000,0.000000,1.000000,all,2.000000,0.000000,800.000000,5.000000,106.560000,160.136800,106.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
